,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[13678],0.92,0.02,0.88,0.95,0.0,0.0,10222.89,6633.51,1.0
p[13679],0.83,0.01,0.81,0.85,0.0,0.0,9569.69,7141.14,1.0
p[13680],0.86,0.02,0.83,0.9,0.0,0.0,11764.86,6623.76,1.0
p[13681],0.83,0.01,0.81,0.85,0.0,0.0,9569.69,7141.14,1.0
p[13682],0.8,0.02,0.76,0.84,0.0,0.0,9811.46,6043.39,1.0
p[13683],0.79,0.01,0.76,0.81,0.0,0.0,8924.2,7293.05,1.0
p[13684],0.79,0.01,0.76,0.81,0.0,0.0,8925.21,7222.8,1.0
p[13685],0.9,0.01,0.88,0.92,0.0,0.0,8354.69,6917.64,1.0
p[13686],0.91,0.02,0.88,0.95,0.0,0.0,10272.18,6401.1,1.0
p[13687],0.79,0.01,0.76,0.81,0.0,0.0,8928.77,7155.99,1.0
p[13688],0.64,0.02,0.59,0.68,0.0,0.0,9784.6,7158.32,1.0
p[13689],0.83,0.01,0.81,0.85,0.0,0.0,9585.13,7126.2,1.0
p[13690],0.83,0.01,0.81,0.85,0.0,0.0,9587.06,7146.74,1.0
p[13691],0.84,0.02,0.81,0.88,0.0,0.0,10578.47,6293.32,1.0
p[13692],0.79,0.01,0.77,0.82,0.0,0.0,8936.8,7234.22,1.0
p[13693],0.87,0.01,0.85,0.9,0.0,0.0,9548.52,6512.46,1.0
p[13694],0.9,0.01,0.88,0.92,0.0,0.0,8304.58,6707.93,1.0
p[13695],0.83,0.01,0.81,0.85,0.0,0.0,9599.36,7158.85,1.0
p[13696],0.9,0.01,0.88,0.92,0.0,0.0,8298.87,6503.03,1.0
p[13697],0.83,0.01,0.81,0.85,0.0,0.0,9600.37,7158.85,1.0
p[13698],0.83,0.01,0.81,0.85,0.0,0.0,9606.07,7158.94,1.0
p[13699],0.79,0.01,0.77,0.82,0.0,0.0,8949.31,7136.48,1.0
p[13700],0.83,0.01,0.81,0.85,0.0,0.0,9609.29,7158.94,1.0
p[13701],0.79,0.01,0.77,0.82,0.0,0.0,8952.47,7070.37,1.0
p[13702],0.83,0.01,0.81,0.85,0.0,0.0,9611.47,7192.86,1.0
p[13703],0.9,0.01,0.88,0.92,0.0,0.0,8273.15,6396.93,1.0
p[13704],0.83,0.01,0.81,0.85,0.0,0.0,9612.56,7192.86,1.0
p[13705],0.83,0.01,0.81,0.85,0.0,0.0,9612.56,7192.86,1.0
p[13706],0.87,0.01,0.85,0.9,0.0,0.0,9556.91,6484.58,1.0
p[13707],0.83,0.01,0.81,0.85,0.0,0.0,9613.9,7192.49,1.0
p[13708],0.8,0.01,0.77,0.82,0.0,0.0,8961.27,7103.51,1.0
p[13709],0.8,0.01,0.77,0.82,0.0,0.0,8962.16,7097.98,1.0
p[13710],0.88,0.01,0.85,0.9,0.0,0.0,9559.45,6429.73,1.0
p[13711],0.8,0.01,0.77,0.82,0.0,0.0,8964.26,7097.98,1.0
p[13712],0.81,0.02,0.77,0.84,0.0,0.0,9816.95,5999.02,1.0
p[13713],0.83,0.01,0.81,0.85,0.0,0.0,9631.82,7146.46,1.0
p[13714],0.83,0.01,0.81,0.85,0.0,0.0,9634.96,7146.46,1.0
p[13715],0.85,0.02,0.81,0.88,0.0,0.0,10548.43,6270.28,1.0
p[13716],0.8,0.01,0.77,0.82,0.0,0.0,8972.05,7165.48,1.0
p[13717],0.83,0.01,0.81,0.85,0.0,0.0,9637.17,7179.93,1.0
p[13718],0.83,0.01,0.81,0.85,0.0,0.0,9637.69,7179.93,1.0
p[13719],0.8,0.01,0.77,0.82,0.0,0.0,8979.02,7163.78,1.0
p[13720],0.87,0.02,0.84,0.9,0.0,0.0,11737.06,6567.97,1.0
p[13721],0.65,0.02,0.61,0.7,0.0,0.0,9808.3,7261.37,1.0
p[13722],0.88,0.02,0.85,0.91,0.0,0.0,11445.74,7024.03,1.0
p[13723],0.83,0.01,0.81,0.85,0.0,0.0,9651.0,7097.0,1.0
p[13724],0.8,0.01,0.78,0.82,0.0,0.0,8989.03,7096.82,1.0
p[13725],0.83,0.01,0.81,0.85,0.0,0.0,9655.85,7098.1,1.0
p[13726],0.83,0.01,0.81,0.85,0.0,0.0,9655.85,7098.1,1.0
p[13727],0.91,0.01,0.89,0.92,0.0,0.0,8261.89,6437.98,1.0
p[13728],0.83,0.01,0.81,0.85,0.0,0.0,9658.14,7131.46,1.0
p[13729],0.83,0.01,0.82,0.85,0.0,0.0,9659.4,7131.46,1.0
p[13730],0.88,0.02,0.85,0.91,0.0,0.0,11435.0,6943.92,1.0
p[13731],0.8,0.01,0.78,0.83,0.0,0.0,8997.13,7069.55,1.0
p[13732],0.84,0.01,0.82,0.86,0.0,0.0,9663.54,7164.76,1.0
p[13733],0.88,0.01,0.85,0.9,0.0,0.0,9565.83,6269.18,1.0
p[13734],0.84,0.01,0.82,0.86,0.0,0.0,9668.92,7232.36,1.0
p[13735],0.8,0.01,0.78,0.83,0.0,0.0,9001.82,7169.86,1.0
p[13736],0.87,0.02,0.84,0.9,0.0,0.0,11723.07,6585.11,1.0
p[13737],0.81,0.02,0.77,0.85,0.0,0.0,9827.53,6197.0,1.0
p[13738],0.8,0.01,0.78,0.83,0.0,0.0,9009.85,7239.29,1.0
p[13739],0.84,0.01,0.82,0.86,0.0,0.0,9688.08,7234.49,1.0
p[13740],0.66,0.02,0.61,0.7,0.0,0.0,9823.47,7192.05,1.0
p[13741],0.84,0.01,0.82,0.86,0.0,0.0,9694.04,7269.4,1.0
p[13742],0.8,0.01,0.78,0.83,0.0,0.0,9024.59,7239.77,1.0
p[13743],0.87,0.02,0.84,0.91,0.0,0.0,11710.89,6584.98,1.0
p[13744],0.8,0.01,0.78,0.83,0.0,0.0,9027.44,7235.15,1.0
p[13745],0.84,0.01,0.82,0.86,0.0,0.0,9706.78,7217.94,1.0
p[13746],0.84,0.01,0.82,0.86,0.0,0.0,9707.08,7217.94,1.0
p[13747],0.84,0.01,0.82,0.86,0.0,0.0,9709.31,7217.94,1.0
p[13748],0.84,0.01,0.82,0.86,0.0,0.0,9712.35,7217.64,1.0
p[13749],0.84,0.01,0.82,0.86,0.0,0.0,9714.22,7286.83,1.0
p[13750],0.91,0.01,0.89,0.93,0.0,0.0,8329.32,6551.32,1.0
p[13751],0.84,0.01,0.82,0.86,0.0,0.0,9718.57,7286.92,1.0
p[13752],0.91,0.01,0.89,0.93,0.0,0.0,8332.89,6551.32,1.0
p[13753],0.91,0.01,0.89,0.93,0.0,0.0,8336.44,6551.32,1.0
p[13754],0.84,0.01,0.82,0.86,0.0,0.0,9719.98,7281.37,1.0
p[13755],0.89,0.02,0.86,0.91,0.0,0.0,11405.6,6958.58,1.0
p[13756],0.81,0.01,0.78,0.83,0.0,0.0,9051.36,7345.01,1.0
p[13757],0.81,0.01,0.78,0.83,0.0,0.0,9052.07,7381.12,1.0
p[13758],0.81,0.01,0.78,0.83,0.0,0.0,9055.03,7310.72,1.0
p[13759],0.84,0.01,0.82,0.86,0.0,0.0,9734.49,7252.43,1.0
p[13760],0.84,0.01,0.82,0.86,0.0,0.0,9735.86,7184.7,1.0
p[13761],0.81,0.01,0.79,0.83,0.0,0.0,9063.09,7305.51,1.0
p[13762],0.91,0.01,0.89,0.93,0.0,0.0,8350.46,7089.09,1.0
p[13763],0.84,0.01,0.82,0.86,0.0,0.0,9746.37,7111.19,1.0
p[13764],0.84,0.01,0.82,0.86,0.0,0.0,9746.37,7111.19,1.0
p[13765],0.81,0.01,0.79,0.84,0.0,0.0,9074.35,7275.29,1.0
p[13766],0.88,0.02,0.85,0.91,0.0,0.0,11687.54,6855.59,1.0
p[13767],0.81,0.01,0.79,0.84,0.0,0.0,9076.13,7275.29,1.0
p[13768],0.91,0.01,0.89,0.93,0.0,0.0,8375.26,6815.95,1.0
p[13769],0.84,0.01,0.82,0.86,0.0,0.0,9760.62,7110.72,1.0
p[13770],0.84,0.01,0.83,0.86,0.0,0.0,9763.69,7110.72,1.0
p[13771],0.91,0.01,0.89,0.93,0.0,0.0,8383.96,6970.49,1.0
p[13772],0.81,0.01,0.79,0.84,0.0,0.0,9089.16,7310.42,1.0
p[13773],0.85,0.01,0.83,0.87,0.0,0.0,9773.27,7166.69,1.0
p[13774],0.85,0.01,0.83,0.87,0.0,0.0,9774.41,7166.69,1.0
p[13775],0.89,0.01,0.86,0.91,0.0,0.0,9586.57,6268.75,1.0
p[13776],0.81,0.01,0.79,0.84,0.0,0.0,9097.44,7271.92,1.0
p[13777],0.85,0.01,0.83,0.87,0.0,0.0,9777.29,7168.09,1.0
p[13778],0.81,0.01,0.79,0.84,0.0,0.0,9100.58,7237.29,1.0
p[13779],0.81,0.01,0.79,0.84,0.0,0.0,9101.35,7237.29,1.0
p[13780],0.85,0.01,0.83,0.87,0.0,0.0,9789.24,7100.5,1.0
p[13781],0.85,0.01,0.83,0.87,0.0,0.0,9789.24,7100.5,1.0
p[13782],0.82,0.01,0.79,0.84,0.0,0.0,9111.92,7240.21,1.0
p[13783],0.85,0.01,0.83,0.87,0.0,0.0,9802.21,7082.36,1.0
p[13784],0.82,0.01,0.79,0.84,0.0,0.0,9123.27,7171.48,1.0
p[13785],0.82,0.01,0.79,0.84,0.0,0.0,9124.67,7104.18,1.0
p[13786],0.88,0.02,0.85,0.91,0.0,0.0,11662.44,6917.71,1.0
p[13787],0.85,0.01,0.83,0.87,0.0,0.0,9811.38,7083.17,1.0
p[13788],0.85,0.01,0.83,0.87,0.0,0.0,9813.83,7083.17,1.0
p[13789],0.89,0.01,0.86,0.91,0.0,0.0,9595.08,6166.36,1.0
p[13790],0.91,0.01,0.9,0.93,0.0,0.0,8433.74,6664.42,1.0
p[13791],0.85,0.01,0.83,0.87,0.0,0.0,9821.96,7050.22,1.0
p[13792],0.92,0.01,0.9,0.93,0.0,0.0,8436.99,6664.42,1.0
p[13793],0.93,0.01,0.9,0.96,0.0,0.0,10168.66,6634.93,1.0
p[13794],0.85,0.01,0.83,0.87,0.0,0.0,9828.56,7083.72,1.0
p[13795],0.82,0.01,0.8,0.84,0.0,0.0,9152.88,6959.6,1.0
p[13796],0.85,0.01,0.83,0.87,0.0,0.0,9833.97,7050.5,1.0
p[13797],0.82,0.01,0.8,0.84,0.0,0.0,9156.98,6991.96,1.0
p[13798],0.85,0.01,0.83,0.87,0.0,0.0,9842.34,7150.68,1.0
p[13799],0.85,0.01,0.83,0.87,0.0,0.0,9847.59,7100.23,1.0
p[13800],0.68,0.02,0.65,0.72,0.0,0.0,9857.11,6965.7,1.0
p[13801],0.63,0.02,0.59,0.67,0.0,0.0,9862.88,6809.96,1.0
p[13802],0.63,0.02,0.59,0.67,0.0,0.0,9861.52,6809.96,1.0
p[13803],0.63,0.02,0.59,0.67,0.0,0.0,9856.25,6871.4,1.0
p[13804],0.74,0.03,0.69,0.8,0.0,0.0,11462.59,6762.67,1.0
p[13805],0.68,0.02,0.65,0.72,0.0,0.0,9861.22,6890.28,1.0
p[13806],0.69,0.02,0.65,0.72,0.0,0.0,9864.35,6966.38,1.0
p[13807],0.81,0.02,0.77,0.84,0.0,0.0,8938.8,6872.1,1.0
p[13808],0.63,0.02,0.6,0.67,0.0,0.0,9846.4,6934.96,1.0
p[13809],0.64,0.02,0.6,0.67,0.0,0.0,9842.75,6934.96,1.0
p[13810],0.76,0.02,0.71,0.8,0.0,0.0,9468.86,6752.59,1.0
p[13811],0.69,0.02,0.65,0.72,0.0,0.0,9861.27,6998.05,1.0
p[13812],0.75,0.03,0.69,0.81,0.0,0.0,11468.01,6781.3,1.0
p[13813],0.69,0.02,0.66,0.72,0.0,0.0,9862.76,6997.43,1.0
p[13814],0.69,0.02,0.66,0.72,0.0,0.0,9863.47,6997.74,1.0
p[13815],0.64,0.02,0.6,0.67,0.0,0.0,9834.9,6934.34,1.0
p[13816],0.64,0.02,0.6,0.68,0.0,0.0,9825.31,6964.6,1.0
p[13817],0.69,0.02,0.66,0.73,0.0,0.0,9871.34,7066.49,1.0
p[13818],0.64,0.02,0.61,0.68,0.0,0.0,9821.83,6901.33,1.0
p[13819],0.77,0.02,0.72,0.81,0.0,0.0,9470.71,6723.49,1.0
p[13820],0.65,0.02,0.61,0.68,0.0,0.0,9808.81,7027.96,1.0
p[13821],0.65,0.02,0.62,0.69,0.0,0.0,9605.14,7126.84,1.0
p[13822],0.66,0.02,0.62,0.69,0.0,0.0,9588.8,7028.19,1.0
p[13823],0.66,0.02,0.63,0.7,0.0,0.0,9559.3,7126.09,1.0
p[13824],0.78,0.03,0.74,0.83,0.0,0.0,12150.25,7146.3,1.0
p[13825],0.67,0.02,0.64,0.7,0.0,0.0,9503.89,7094.14,1.0
p[13826],0.72,0.02,0.69,0.75,0.0,0.0,9907.21,7173.36,1.0
p[13827],0.78,0.03,0.73,0.83,0.0,0.0,11515.07,6499.11,1.0
p[13828],0.72,0.01,0.7,0.75,0.0,0.0,9907.82,7241.96,1.0
p[13829],0.68,0.02,0.64,0.71,0.0,0.0,9463.51,7300.25,1.0
p[13830],0.72,0.01,0.7,0.75,0.0,0.0,9907.19,7241.76,1.0
p[13831],0.73,0.01,0.7,0.75,0.0,0.0,9907.94,7241.76,1.0
p[13832],0.73,0.01,0.7,0.75,0.0,0.0,9909.34,7241.76,1.0
p[13833],0.68,0.02,0.65,0.71,0.0,0.0,9451.87,7300.84,1.0
p[13834],0.73,0.01,0.7,0.75,0.0,0.0,9909.07,7241.76,1.0
p[13835],0.8,0.02,0.75,0.84,0.0,0.0,12145.9,6949.36,1.0
p[13836],0.73,0.01,0.7,0.76,0.0,0.0,9913.5,7172.22,1.0
p[13837],0.69,0.03,0.64,0.75,0.0,0.0,10233.61,6994.74,1.0
p[13838],0.73,0.01,0.7,0.76,0.0,0.0,9913.7,7172.35,1.0
p[13839],0.75,0.02,0.7,0.8,0.0,0.0,10152.49,6975.71,1.0
p[13840],0.5,0.03,0.45,0.55,0.0,0.0,9890.61,7137.27,1.0
p[13841],0.73,0.01,0.7,0.76,0.0,0.0,9921.3,7071.09,1.0
p[13842],0.73,0.01,0.7,0.76,0.0,0.0,9920.45,7066.77,1.0
p[13843],0.73,0.01,0.7,0.76,0.0,0.0,9922.69,7066.77,1.0
p[13844],0.68,0.02,0.65,0.71,0.0,0.0,9421.22,7098.47,1.0
p[13845],0.68,0.02,0.65,0.71,0.0,0.0,9414.1,7020.52,1.0
p[13846],0.73,0.01,0.71,0.76,0.0,0.0,9926.07,6985.3,1.0
p[13847],0.68,0.02,0.65,0.72,0.0,0.0,9409.71,7053.44,1.0
p[13848],0.73,0.01,0.71,0.76,0.0,0.0,9927.24,7031.46,1.0
p[13849],0.73,0.01,0.71,0.76,0.0,0.0,9926.16,6997.95,1.0
p[13850],0.73,0.01,0.71,0.76,0.0,0.0,9926.47,7129.22,1.0
p[13851],0.69,0.02,0.65,0.72,0.0,0.0,9403.34,7021.4,1.0
p[13852],0.73,0.01,0.71,0.76,0.0,0.0,9926.34,7196.32,1.0
p[13853],0.73,0.01,0.71,0.76,0.0,0.0,9926.49,7196.32,1.0
p[13854],0.8,0.02,0.76,0.85,0.0,0.0,12148.32,6791.59,1.0
p[13855],0.69,0.02,0.66,0.72,0.0,0.0,9395.98,6988.37,1.0
p[13856],0.73,0.01,0.71,0.76,0.0,0.0,9789.13,7096.91,1.0
p[13857],0.87,0.03,0.82,0.91,0.0,0.0,10231.31,5994.15,1.0
p[13858],0.7,0.03,0.65,0.75,0.0,0.0,10224.64,6866.73,1.0
p[13859],0.74,0.01,0.71,0.76,0.0,0.0,9786.21,6935.62,1.0
p[13860],0.69,0.02,0.66,0.72,0.0,0.0,9383.25,6990.53,1.0
p[13861],0.74,0.01,0.71,0.76,0.0,0.0,9785.62,6985.52,1.0
p[13862],0.69,0.02,0.66,0.72,0.0,0.0,9378.22,6990.53,1.0
p[13863],0.74,0.01,0.71,0.76,0.0,0.0,9785.15,6986.19,1.0
p[13864],0.51,0.03,0.46,0.56,0.0,0.0,9893.71,7171.03,1.0
p[13865],0.76,0.02,0.71,0.8,0.0,0.0,10166.38,6650.1,1.0
p[13866],0.74,0.01,0.71,0.76,0.0,0.0,9785.02,6954.34,1.0
p[13867],0.74,0.01,0.71,0.76,0.0,0.0,9784.54,6954.52,1.0
p[13868],0.8,0.02,0.76,0.84,0.0,0.0,9490.26,6305.89,1.0
p[13869],0.69,0.02,0.66,0.72,0.0,0.0,9371.41,6990.34,1.0
p[13870],0.74,0.01,0.71,0.77,0.0,0.0,9779.46,6955.3,1.0
p[13871],0.74,0.01,0.71,0.77,0.0,0.0,9777.68,6923.27,1.0
p[13872],0.69,0.02,0.66,0.72,0.0,0.0,9359.94,7055.85,1.0
p[13873],0.74,0.01,0.71,0.77,0.0,0.0,9777.0,6923.62,1.0
p[13874],0.81,0.02,0.76,0.85,0.0,0.0,12146.55,6639.31,1.0
p[13875],0.69,0.02,0.66,0.72,0.0,0.0,9358.6,7055.85,1.0
p[13876],0.74,0.01,0.71,0.77,0.0,0.0,9774.5,6859.25,1.0
p[13877],0.69,0.02,0.66,0.72,0.0,0.0,9355.08,7088.15,1.0
p[13878],0.74,0.01,0.72,0.77,0.0,0.0,9774.25,6829.25,1.0
p[13879],0.69,0.02,0.67,0.72,0.0,0.0,9352.28,7044.64,1.0
p[13880],0.8,0.02,0.77,0.84,0.0,0.0,9501.07,6153.55,1.0
p[13881],0.74,0.01,0.72,0.77,0.0,0.0,9772.1,6829.95,1.0
p[13882],0.69,0.02,0.67,0.73,0.0,0.0,9347.43,7044.64,1.0
p[13883],0.7,0.02,0.67,0.73,0.0,0.0,9346.23,7043.52,1.0
p[13884],0.74,0.01,0.72,0.77,0.0,0.0,9770.58,6830.26,1.0
p[13885],0.71,0.03,0.66,0.76,0.0,0.0,10223.92,6807.77,1.0
p[13886],0.74,0.01,0.72,0.77,0.0,0.0,9769.19,6830.26,1.0
p[13887],0.85,0.01,0.82,0.87,0.0,0.0,8847.53,6531.57,1.0
p[13888],0.7,0.02,0.67,0.73,0.0,0.0,9340.59,7086.48,1.0
p[13889],0.7,0.02,0.67,0.73,0.0,0.0,9336.06,6926.47,1.0
p[13890],0.77,0.02,0.72,0.81,0.0,0.0,10174.63,6409.97,1.0
p[13891],0.74,0.01,0.72,0.77,0.0,0.0,9766.17,6829.71,1.0
p[13892],0.52,0.03,0.47,0.57,0.0,0.0,9889.57,7238.45,1.0
p[13893],0.75,0.01,0.72,0.77,0.0,0.0,9765.67,6830.0,1.0
p[13894],0.75,0.01,0.72,0.77,0.0,0.0,9765.39,6830.36,1.0
p[13895],0.7,0.02,0.67,0.73,0.0,0.0,9320.37,6990.18,1.0
p[13896],0.68,0.03,0.63,0.73,0.0,0.0,8869.49,7041.25,1.0
p[13897],0.7,0.02,0.67,0.73,0.0,0.0,9319.01,6990.18,1.0
p[13898],0.75,0.01,0.72,0.77,0.0,0.0,9763.43,6799.4,1.0
p[13899],0.85,0.01,0.82,0.87,0.0,0.0,8834.99,6518.0,1.0
p[13900],0.7,0.02,0.67,0.73,0.0,0.0,9316.02,6967.07,1.0
p[13901],0.75,0.01,0.72,0.77,0.0,0.0,9763.28,6800.38,1.0
p[13902],0.7,0.02,0.67,0.73,0.0,0.0,9311.04,6998.83,1.0
p[13903],0.75,0.01,0.72,0.77,0.0,0.0,9762.51,6830.33,1.0
p[13904],0.75,0.01,0.72,0.77,0.0,0.0,9762.31,6769.48,1.0
p[13905],0.7,0.02,0.67,0.73,0.0,0.0,9309.18,6998.83,1.0
p[13906],0.75,0.01,0.72,0.77,0.0,0.0,9761.25,6739.57,1.0
p[13907],0.7,0.02,0.67,0.73,0.0,0.0,9304.89,7096.78,1.0
p[13908],0.75,0.01,0.72,0.77,0.0,0.0,9760.6,6739.42,1.0
p[13909],0.87,0.02,0.83,0.92,0.0,0.0,10203.59,5859.7,1.0
p[13910],0.75,0.01,0.72,0.77,0.0,0.0,9760.34,6651.01,1.0
p[13911],0.81,0.02,0.77,0.86,0.0,0.0,12149.35,6595.99,1.0
p[13912],0.7,0.02,0.68,0.73,0.0,0.0,9302.02,7044.16,1.0
p[13913],0.72,0.03,0.67,0.77,0.0,0.0,10215.94,6900.08,1.0
p[13914],0.71,0.02,0.68,0.73,0.0,0.0,9296.29,7043.16,1.0
p[13915],0.75,0.01,0.73,0.78,0.0,0.0,9757.71,6651.25,1.0
p[13916],0.75,0.01,0.73,0.78,0.0,0.0,9757.22,6652.3,1.0
p[13917],0.53,0.03,0.48,0.58,0.0,0.0,9886.07,6901.47,1.0
p[13918],0.71,0.02,0.68,0.74,0.0,0.0,9288.78,7223.39,1.0
p[13919],0.75,0.01,0.73,0.78,0.0,0.0,9755.89,6652.3,1.0
p[13920],0.71,0.02,0.68,0.74,0.0,0.0,9285.15,7089.71,1.0
p[13921],0.71,0.02,0.68,0.74,0.0,0.0,9280.78,7006.84,1.0
p[13922],0.68,0.03,0.64,0.73,0.0,0.0,8863.04,7072.27,1.0
p[13923],0.75,0.01,0.73,0.78,0.0,0.0,9755.55,6712.25,1.0
p[13924],0.81,0.02,0.78,0.85,0.0,0.0,9527.34,6066.76,1.0
p[13925],0.75,0.01,0.73,0.78,0.0,0.0,9754.39,6712.25,1.0
p[13926],0.85,0.01,0.83,0.88,0.0,0.0,8818.35,6590.56,1.0
p[13927],0.75,0.01,0.73,0.78,0.0,0.0,9754.29,6682.74,1.0
p[13928],0.75,0.01,0.73,0.78,0.0,0.0,9754.29,6682.74,1.0
p[13929],0.71,0.02,0.68,0.74,0.0,0.0,9275.39,7007.19,1.0
p[13930],0.77,0.02,0.73,0.82,0.0,0.0,10181.3,6495.21,1.0
p[13931],0.76,0.01,0.73,0.78,0.0,0.0,9751.28,6652.48,1.0
p[13932],0.71,0.02,0.68,0.74,0.0,0.0,9270.32,7041.02,1.0
p[13933],0.76,0.01,0.73,0.78,0.0,0.0,9751.15,6623.3,1.0
p[13934],0.76,0.01,0.73,0.78,0.0,0.0,9751.15,6623.3,1.0
p[13935],0.76,0.01,0.73,0.78,0.0,0.0,9750.32,6623.3,1.0
p[13936],0.71,0.02,0.68,0.74,0.0,0.0,9267.94,7028.57,1.0
p[13937],0.82,0.02,0.78,0.86,0.0,0.0,12141.05,6540.77,1.0
p[13938],0.71,0.02,0.68,0.74,0.0,0.0,9264.84,7088.36,1.0
p[13939],0.76,0.01,0.73,0.78,0.0,0.0,9750.07,6623.05,1.0
p[13940],0.82,0.02,0.78,0.85,0.0,0.0,9529.52,6177.17,1.0
p[13941],0.76,0.01,0.73,0.78,0.0,0.0,9749.98,6652.2,1.0
p[13942],0.86,0.01,0.83,0.88,0.0,0.0,8818.08,6576.04,1.0
p[13943],0.71,0.02,0.69,0.74,0.0,0.0,9256.79,7053.15,1.0
p[13944],0.73,0.03,0.68,0.78,0.0,0.0,10214.73,6774.81,1.0
p[13945],0.78,0.02,0.74,0.82,0.0,0.0,10191.35,6651.15,1.0
p[13946],0.76,0.01,0.74,0.78,0.0,0.0,9751.32,6681.17,1.0
p[13947],0.76,0.01,0.74,0.78,0.0,0.0,9751.52,6681.17,1.0
p[13948],0.72,0.01,0.69,0.74,0.0,0.0,9245.11,7056.49,1.0
p[13949],0.76,0.01,0.74,0.78,0.0,0.0,9749.88,6697.25,1.0
p[13950],0.86,0.01,0.84,0.88,0.0,0.0,8810.75,6548.7,1.0
p[13951],0.76,0.01,0.74,0.78,0.0,0.0,9749.73,6697.25,1.0
p[13952],0.72,0.01,0.69,0.75,0.0,0.0,9239.24,7044.23,1.0
p[13953],0.76,0.01,0.74,0.79,0.0,0.0,9750.04,6727.82,1.0
p[13954],0.76,0.01,0.74,0.79,0.0,0.0,9750.75,6801.46,1.0
p[13955],0.76,0.01,0.74,0.79,0.0,0.0,9750.63,6801.46,1.0
p[13956],0.7,0.02,0.65,0.74,0.0,0.0,8852.14,6913.91,1.0
p[13957],0.76,0.01,0.74,0.79,0.0,0.0,9749.88,6800.84,1.0
p[13958],0.72,0.01,0.69,0.75,0.0,0.0,9233.89,6948.58,1.0
p[13959],0.83,0.02,0.79,0.86,0.0,0.0,12116.89,6488.04,1.0
p[13960],0.76,0.01,0.74,0.79,0.0,0.0,9750.29,6800.42,1.0
p[13961],0.72,0.01,0.69,0.75,0.0,0.0,9230.31,6990.25,1.0
p[13962],0.76,0.01,0.74,0.79,0.0,0.0,9750.83,6709.76,1.0
p[13963],0.88,0.02,0.84,0.93,0.0,0.0,10170.59,5826.64,1.0
p[13964],0.72,0.01,0.69,0.75,0.0,0.0,9226.35,6990.38,1.0
p[13965],0.82,0.02,0.79,0.86,0.0,0.0,9544.77,6279.92,1.0
p[13966],0.81,0.02,0.77,0.86,0.0,0.0,11529.86,6283.16,1.0
p[13967],0.72,0.01,0.69,0.75,0.0,0.0,9223.11,7042.11,1.0
p[13968],0.77,0.01,0.74,0.79,0.0,0.0,9750.06,6769.47,1.0
p[13969],0.77,0.01,0.74,0.79,0.0,0.0,9750.79,6769.88,1.0
p[13970],0.82,0.02,0.79,0.86,0.0,0.0,9551.85,6177.91,1.0
p[13971],0.77,0.01,0.74,0.79,0.0,0.0,9751.03,6770.32,1.0
p[13972],0.55,0.03,0.5,0.6,0.0,0.0,9894.26,6801.33,1.0
p[13973],0.74,0.02,0.69,0.78,0.0,0.0,10206.59,6929.53,1.0
p[13974],0.77,0.01,0.74,0.79,0.0,0.0,9750.82,6770.61,1.0
p[13975],0.79,0.02,0.75,0.83,0.0,0.0,10202.94,6619.42,1.0
p[13976],0.72,0.01,0.7,0.75,0.0,0.0,9212.01,7057.48,1.0
p[13977],0.77,0.01,0.74,0.79,0.0,0.0,9751.17,6770.61,1.0
p[13978],0.83,0.02,0.79,0.86,0.0,0.0,9550.29,6177.91,1.0
p[13979],0.7,0.02,0.66,0.75,0.0,0.0,8849.89,6988.1,1.0
p[13980],0.72,0.01,0.7,0.75,0.0,0.0,9210.17,7024.87,1.0
p[13981],0.73,0.01,0.7,0.75,0.0,0.0,9205.79,6929.26,1.0
p[13982],0.77,0.01,0.75,0.79,0.0,0.0,9751.86,6653.11,1.0
p[13983],0.77,0.01,0.75,0.79,0.0,0.0,9752.25,6653.31,1.0
p[13984],0.83,0.02,0.79,0.87,0.0,0.0,12094.33,6401.22,1.0
p[13985],0.77,0.01,0.75,0.79,0.0,0.0,9750.76,6623.76,1.0
p[13986],0.73,0.01,0.7,0.75,0.0,0.0,9202.29,6896.91,1.0
p[13987],0.77,0.01,0.75,0.79,0.0,0.0,9750.78,6623.76,1.0
p[13988],0.77,0.01,0.75,0.79,0.0,0.0,9750.78,6623.76,1.0
p[13989],0.86,0.01,0.84,0.89,0.0,0.0,8802.02,6618.99,1.0
p[13990],0.83,0.02,0.79,0.86,0.0,0.0,9561.09,6202.62,1.0
p[13991],0.73,0.01,0.7,0.75,0.0,0.0,9198.2,6897.64,1.0
p[13992],0.82,0.02,0.78,0.86,0.0,0.0,11528.78,6433.1,1.0
p[13993],0.77,0.01,0.75,0.79,0.0,0.0,9749.69,6595.88,1.0
p[13994],0.73,0.01,0.7,0.76,0.0,0.0,9195.4,7026.22,1.0
p[13995],0.74,0.02,0.69,0.79,0.0,0.0,10210.02,7060.31,1.0
p[13996],0.87,0.01,0.84,0.89,0.0,0.0,8862.79,6633.99,1.0
p[13997],0.73,0.01,0.7,0.76,0.0,0.0,9188.74,7090.85,1.0
p[13998],0.79,0.02,0.75,0.83,0.0,0.0,10198.62,6670.57,1.0
p[13999],0.77,0.01,0.75,0.8,0.0,0.0,9750.84,6652.38,1.0
p[14000],0.56,0.03,0.51,0.61,0.0,0.0,9900.29,6829.91,1.0
p[14001],0.77,0.01,0.75,0.8,0.0,0.0,9749.78,6681.84,1.0
